2025-09-12 12:41:39 - Starting vulnerability scan
2025-09-12 12:41:39 - VULNERABILITY: curl:8.5.0-2ubuntu10.6 affected by CVE-2024-0853 (Severity: HIGH, CVSS: 7.5)
2025-09-12 12:41:41 - VULNERABILITY: libxml2-dev:amd64 affected by CVE-2023-28484 (Severity: HIGH, CVSS: 8.8)
2025-09-12 12:41:41 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2024-42460 (Severity: MEDIUM, CVSS: 6.9)
2025-09-12 12:41:41 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2024-41073 (Severity: HIGH, CVSS: 7.8)
2025-09-12 12:41:41 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2024-41009 (Severity: HIGH, CVSS: 7.8)
2025-09-12 12:41:41 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2023-46813 (Severity: HIGH, CVSS: 7.5)
2025-09-12 12:41:41 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2023-42753 (Severity: HIGH, CVSS: 7.8)
2025-09-12 12:41:41 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2023-32233 (Severity: HIGH, CVSS: 7.8)
2025-09-12 12:41:42 - VULNERABILITY: ncurses-base:6.4+20240113-1ubuntu2 affected by CVE-2023-29491 (Severity: HIGH, CVSS: 7.8)
2025-09-12 12:41:42 - VULNERABILITY: ncurses-bin:6.4+20240113-1ubuntu2 affected by CVE-2023-29491 (Severity: HIGH, CVSS: 7.8)
2025-09-12 12:41:42 - VULNERABILITY: openssh-client:1 affected by CVE-2024-6387 (Severity: HIGH, CVSS: 8.1)
2025-09-12 12:41:42 - VULNERABILITY: openssh-client:1 affected by CVE-2023-51385 (Severity: HIGH, CVSS: 8.1)
2025-09-12 12:41:42 - VULNERABILITY: openssh-client:1 affected by CVE-2023-48795 (Severity: MEDIUM, CVSS: 5.9)
2025-09-12 12:41:42 - VULNERABILITY: openssh-client:1 affected by CVE-2023-38408 (Severity: HIGH, CVSS: 9.8)
2025-09-12 12:41:42 - VULNERABILITY: openssh-server:1 affected by CVE-2024-6387 (Severity: HIGH, CVSS: 8.1)
2025-09-12 12:41:42 - VULNERABILITY: openssh-server:1 affected by CVE-2023-51385 (Severity: HIGH, CVSS: 8.1)
2025-09-12 12:41:42 - VULNERABILITY: openssh-server:1 affected by CVE-2023-48795 (Severity: MEDIUM, CVSS: 5.9)
2025-09-12 12:41:42 - VULNERABILITY: openssh-server:1 affected by CVE-2023-38408 (Severity: HIGH, CVSS: 9.8)
2025-09-12 12:41:42 - VULNERABILITY: openssh-sftp-server:1 affected by CVE-2024-6387 (Severity: HIGH, CVSS: 8.1)
2025-09-12 12:41:42 - VULNERABILITY: openssh-sftp-server:1 affected by CVE-2023-51385 (Severity: HIGH, CVSS: 8.1)
2025-09-12 12:41:42 - VULNERABILITY: openssh-sftp-server:1 affected by CVE-2023-48795 (Severity: MEDIUM, CVSS: 5.9)
2025-09-12 12:41:42 - VULNERABILITY: openssh-sftp-server:1 affected by CVE-2023-38408 (Severity: HIGH, CVSS: 9.8)
2025-09-12 12:41:42 - VULNERABILITY: openssl:3.0.13-0ubuntu3.5 affected by CVE-2024-20918 (Severity: HIGH, CVSS: 7.5)
2025-09-12 12:41:42 - VULNERABILITY: openssl:3.0.13-0ubuntu3.5 affected by CVE-2024-0727 (Severity: MEDIUM, CVSS: 5.5)
2025-09-12 12:41:42 - VULNERABILITY: python3:3.12.3-0ubuntu2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-apt:2.7.7ubuntu4 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-blinker:1.7.0-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-cffi-backend:amd64 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-cryptography:41.0.7-4ubuntu0.1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-dbus:1.3.2-5build3 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-dev:3.12.3-0ubuntu2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-distro:1.9.0-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-gi:3.48.2-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-httplib2:0.20.4-3 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-jwt:2.7.0-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-launchpadlib:1.11.0-6 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-lazr.restfulclient:0.14.6-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-lazr.uri:1.0.6-3 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-lldb-18:1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-minimal:3.12.3-0ubuntu2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-oauthlib:3.2.2-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-packaging:24.0-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-pip:24.0+dfsg-1ubuntu1.2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-pkg-resources:68.1.2-2ubuntu1.2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-pygments:2.17.2+dfsg-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-pyparsing:3.1.1-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-setuptools:68.1.2-2ubuntu1.2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-six:1.16.0-4 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-software-properties:0.99.49.2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-wadllib:1.3.6-5 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-wheel:0.42.0-2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3-yaml:6.0.1-2build2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3.12:3.12.3-1ubuntu0.7 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3.12-dev:3.12.3-1ubuntu0.7 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:42 - VULNERABILITY: python3.12-minimal:3.12.3-1ubuntu0.7 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:43 - VULNERABILITY: sudo:1.9.15p5-3ubuntu5.24.04.1 affected by CVE-2023-37327 (Severity: HIGH, CVSS: 8.8)
2025-09-12 12:41:43 - VULNERABILITY: util-linux:2.39.3-9ubuntu6.3 affected by CVE-2024-28085 (Severity: HIGH, CVSS: 7.5)
2025-09-12 12:41:43 - VULNERABILITY: vim:2 affected by CVE-2023-32215 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:43 - VULNERABILITY: vim-common:2 affected by CVE-2023-32215 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:43 - VULNERABILITY: vim-doc:2 affected by CVE-2023-32215 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:43 - VULNERABILITY: vim-runtime:2 affected by CVE-2023-32215 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:43 - VULNERABILITY: vim-tiny:2 affected by CVE-2023-32215 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 12:41:43 - VULNERABILITY: wget:1.21.4-1ubuntu4.1 affected by CVE-2024-21611 (Severity: MEDIUM, CVSS: 5.5)
2025-09-12 12:41:43 - VULNERABILITY: xz-utils:5.6.1+really5.4.5-1ubuntu0.2 affected by CVE-2024-3094 (Severity: CRITICAL, CVSS: 10.0)
2025-09-12 12:41:43 - ALERT: 3 critical vulnerabilities detected!
2025-09-12 12:41:43 - ALERT: 31 high-severity vulnerabilities detected!
2025-09-12 12:41:43 - Vulnerability scan completed. Found 77 vulnerabilities in 591 packages
2025-09-12 15:30:23 - Starting vulnerability scan
2025-09-12 15:30:24 - VULNERABILITY: curl:8.5.0-2ubuntu10.6 affected by CVE-2024-0853 (Severity: HIGH, CVSS: 7.5)
2025-09-12 15:30:24 - VULNERABILITY: dbus:1.14.10-4ubuntu4.1 affected by CVE-2024-34064 (Severity: HIGH, CVSS: 8.0)
2025-09-12 15:30:24 - VULNERABILITY: dbus-bin:1.14.10-4ubuntu4.1 affected by CVE-2024-34064 (Severity: HIGH, CVSS: 8.0)
2025-09-12 15:30:24 - VULNERABILITY: dbus-daemon:1.14.10-4ubuntu4.1 affected by CVE-2024-34064 (Severity: HIGH, CVSS: 8.0)
2025-09-12 15:30:24 - VULNERABILITY: dbus-session-bus-common:1.14.10-4ubuntu4.1 affected by CVE-2024-34064 (Severity: HIGH, CVSS: 8.0)
2025-09-12 15:30:24 - VULNERABILITY: dbus-system-bus-common:1.14.10-4ubuntu4.1 affected by CVE-2024-34064 (Severity: HIGH, CVSS: 8.0)
2025-09-12 15:30:24 - VULNERABILITY: git:1 affected by CVE-2023-25652 (Severity: HIGH, CVSS: 7.5)
2025-09-12 15:30:24 - VULNERABILITY: git-man:1 affected by CVE-2023-25652 (Severity: HIGH, CVSS: 7.5)
2025-09-12 15:30:25 - VULNERABILITY: liblzma-dev:amd64 affected by CVE-2024-3094 (Severity: CRITICAL, CVSS: 10.0)
2025-09-12 15:30:25 - VULNERABILITY: liblzma5:amd64 affected by CVE-2024-3094 (Severity: CRITICAL, CVSS: 10.0)
2025-09-12 15:30:26 - VULNERABILITY: libtiff6:amd64 affected by CVE-2024-24806 (Severity: MEDIUM, CVSS: 5.5)
2025-09-12 15:30:27 - VULNERABILITY: libxml2:amd64 affected by CVE-2024-25062 (Severity: HIGH, CVSS: 8.8)
2025-09-12 15:30:27 - VULNERABILITY: libxml2:amd64 affected by CVE-2023-28484 (Severity: HIGH, CVSS: 8.8)
2025-09-12 15:30:27 - VULNERABILITY: libxml2-dev:amd64 affected by CVE-2024-25062 (Severity: HIGH, CVSS: 8.8)
2025-09-12 15:30:27 - VULNERABILITY: libxml2-dev:amd64 affected by CVE-2023-28484 (Severity: HIGH, CVSS: 8.8)
2025-09-12 15:30:27 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2024-42460 (Severity: MEDIUM, CVSS: 6.9)
2025-09-12 15:30:27 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2024-41073 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:30:27 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2024-41009 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:30:27 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2023-46813 (Severity: HIGH, CVSS: 7.5)
2025-09-12 15:30:27 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2023-42753 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:30:27 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2023-32233 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:30:27 - VULNERABILITY: ncurses-base:6.4+20240113-1ubuntu2 affected by CVE-2023-29491 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:30:27 - VULNERABILITY: ncurses-bin:6.4+20240113-1ubuntu2 affected by CVE-2023-29491 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:30:27 - VULNERABILITY: openssh-client:1 affected by CVE-2024-6387 (Severity: HIGH, CVSS: 8.1)
2025-09-12 15:30:27 - VULNERABILITY: openssh-client:1 affected by CVE-2023-51385 (Severity: HIGH, CVSS: 8.1)
2025-09-12 15:30:27 - VULNERABILITY: openssh-client:1 affected by CVE-2023-48795 (Severity: MEDIUM, CVSS: 5.9)
2025-09-12 15:30:27 - VULNERABILITY: openssh-client:1 affected by CVE-2023-38408 (Severity: HIGH, CVSS: 9.8)
2025-09-12 15:30:27 - VULNERABILITY: openssh-server:1 affected by CVE-2024-6387 (Severity: HIGH, CVSS: 8.1)
2025-09-12 15:30:27 - VULNERABILITY: openssh-server:1 affected by CVE-2023-51385 (Severity: HIGH, CVSS: 8.1)
2025-09-12 15:30:27 - VULNERABILITY: openssh-server:1 affected by CVE-2023-48795 (Severity: MEDIUM, CVSS: 5.9)
2025-09-12 15:30:27 - VULNERABILITY: openssh-server:1 affected by CVE-2023-38408 (Severity: HIGH, CVSS: 9.8)
2025-09-12 15:30:27 - VULNERABILITY: openssh-sftp-server:1 affected by CVE-2024-6387 (Severity: HIGH, CVSS: 8.1)
2025-09-12 15:30:27 - VULNERABILITY: openssh-sftp-server:1 affected by CVE-2023-51385 (Severity: HIGH, CVSS: 8.1)
2025-09-12 15:30:27 - VULNERABILITY: openssh-sftp-server:1 affected by CVE-2023-48795 (Severity: MEDIUM, CVSS: 5.9)
2025-09-12 15:30:27 - VULNERABILITY: openssh-sftp-server:1 affected by CVE-2023-38408 (Severity: HIGH, CVSS: 9.8)
2025-09-12 15:30:27 - VULNERABILITY: openssl:3.0.13-0ubuntu3.5 affected by CVE-2024-20918 (Severity: HIGH, CVSS: 7.5)
2025-09-12 15:30:27 - VULNERABILITY: openssl:3.0.13-0ubuntu3.5 affected by CVE-2024-0727 (Severity: MEDIUM, CVSS: 5.5)
2025-09-12 15:30:27 - VULNERABILITY: python3:3.12.3-0ubuntu2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-apt:2.7.7ubuntu4 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-blinker:1.7.0-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-cffi-backend:amd64 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-cryptography:41.0.7-4ubuntu0.1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-dbus:1.3.2-5build3 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-dev:3.12.3-0ubuntu2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-distro:1.9.0-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-gi:3.48.2-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-httplib2:0.20.4-3 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-jwt:2.7.0-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-launchpadlib:1.11.0-6 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-lazr.restfulclient:0.14.6-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-lazr.uri:1.0.6-3 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-lldb-18:1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-minimal:3.12.3-0ubuntu2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-oauthlib:3.2.2-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-packaging:24.0-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-pip:24.0+dfsg-1ubuntu1.2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-pkg-resources:68.1.2-2ubuntu1.2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-pygments:2.17.2+dfsg-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-pyparsing:3.1.1-1 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:27 - VULNERABILITY: python3-setuptools:68.1.2-2ubuntu1.2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: python3-six:1.16.0-4 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: python3-software-properties:0.99.49.2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: python3-wadllib:1.3.6-5 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: python3-wheel:0.42.0-2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: python3-yaml:6.0.1-2build2 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: python3.12:3.12.3-1ubuntu0.7 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: python3.12-dev:3.12.3-1ubuntu0.7 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: python3.12-minimal:3.12.3-1ubuntu0.7 affected by CVE-2024-0450 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: sudo:1.9.15p5-3ubuntu5.24.04.1 affected by CVE-2023-37327 (Severity: HIGH, CVSS: 8.8)
2025-09-12 15:30:28 - VULNERABILITY: util-linux:2.39.3-9ubuntu6.3 affected by CVE-2024-28085 (Severity: HIGH, CVSS: 7.5)
2025-09-12 15:30:28 - VULNERABILITY: vim:2 affected by CVE-2023-32215 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: vim-common:2 affected by CVE-2023-32215 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: vim-doc:2 affected by CVE-2023-32215 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: vim-runtime:2 affected by CVE-2023-32215 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: vim-tiny:2 affected by CVE-2023-32215 (Severity: MEDIUM, CVSS: 6.5)
2025-09-12 15:30:28 - VULNERABILITY: wget:1.21.4-1ubuntu4.1 affected by CVE-2024-21611 (Severity: MEDIUM, CVSS: 5.5)
2025-09-12 15:30:28 - VULNERABILITY: xz-utils:5.6.1+really5.4.5-1ubuntu0.2 affected by CVE-2024-3094 (Severity: CRITICAL, CVSS: 10.0)
2025-09-12 15:30:28 - ALERT: 3 critical vulnerabilities detected!
2025-09-12 15:30:28 - ALERT: 31 high-severity vulnerabilities detected!
2025-09-12 15:30:28 - Vulnerability scan completed. Found 77 vulnerabilities in 591 packages
2025-09-12 15:31:01 - Starting vulnerability scan
2025-09-12 15:31:01 - VULNERABILITY: curl:8.5.0-2ubuntu10.6 affected by CVE-2024-0853 (Severity: HIGH, CVSS: 7.5)
2025-09-12 15:31:01 - VULNERABILITY: dbus:1.14.10-4ubuntu4.1 affected by CVE-2024-34064 (Severity: HIGH, CVSS: 8.0)
2025-09-12 15:31:01 - VULNERABILITY: dbus-bin:1.14.10-4ubuntu4.1 affected by CVE-2024-34064 (Severity: HIGH, CVSS: 8.0)
2025-09-12 15:31:01 - VULNERABILITY: dbus-daemon:1.14.10-4ubuntu4.1 affected by CVE-2024-34064 (Severity: HIGH, CVSS: 8.0)
2025-09-12 15:31:01 - VULNERABILITY: dbus-session-bus-common:1.14.10-4ubuntu4.1 affected by CVE-2024-34064 (Severity: HIGH, CVSS: 8.0)
2025-09-12 15:31:01 - VULNERABILITY: dbus-system-bus-common:1.14.10-4ubuntu4.1 affected by CVE-2024-34064 (Severity: HIGH, CVSS: 8.0)
2025-09-12 15:31:01 - VULNERABILITY: git:1 affected by CVE-2023-25652 (Severity: HIGH, CVSS: 7.5)
2025-09-12 15:31:01 - VULNERABILITY: git-man:1 affected by CVE-2023-25652 (Severity: HIGH, CVSS: 7.5)
2025-09-12 15:31:03 - VULNERABILITY: liblzma-dev:amd64 affected by CVE-2024-3094 (Severity: CRITICAL, CVSS: 10.0)
2025-09-12 15:31:03 - VULNERABILITY: liblzma5:amd64 affected by CVE-2024-3094 (Severity: CRITICAL, CVSS: 10.0)
2025-09-12 15:31:03 - VULNERABILITY: libtiff6:amd64 affected by CVE-2024-24806 (Severity: MEDIUM, CVSS: 5.5)
2025-09-12 15:31:04 - VULNERABILITY: libxml2:amd64 affected by CVE-2024-25062 (Severity: HIGH, CVSS: 8.8)
2025-09-12 15:31:04 - VULNERABILITY: libxml2:amd64 affected by CVE-2023-28484 (Severity: HIGH, CVSS: 8.8)
2025-09-12 15:31:04 - VULNERABILITY: libxml2-dev:amd64 affected by CVE-2024-25062 (Severity: HIGH, CVSS: 8.8)
2025-09-12 15:31:04 - VULNERABILITY: libxml2-dev:amd64 affected by CVE-2023-28484 (Severity: HIGH, CVSS: 8.8)
2025-09-12 15:31:04 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2024-42460 (Severity: MEDIUM, CVSS: 6.9)
2025-09-12 15:31:04 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2024-41073 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:31:04 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2024-41009 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:31:04 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2023-46813 (Severity: HIGH, CVSS: 7.5)
2025-09-12 15:31:04 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2023-42753 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:31:04 - VULNERABILITY: linux-libc-dev:amd64 affected by CVE-2023-32233 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:31:04 - VULNERABILITY: ncurses-base:6.4+20240113-1ubuntu2 affected by CVE-2023-29491 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:31:04 - VULNERABILITY: ncurses-bin:6.4+20240113-1ubuntu2 affected by CVE-2023-29491 (Severity: HIGH, CVSS: 7.8)
2025-09-12 15:31:04 - VULNERABILITY: openssh-client:1 affected by CVE-2024-6387 (Severity: HIGH, CVSS: 8.1)
2025-09-12 15:31:04 - VULNERABILITY: openssh-client:1 affected by CVE-2023-51385 (Severity: HIGH, CVSS: 8.1)
2025-09-12 15:31:04 - VULNERABILITY: openssh-client:1 affected by CVE-2023-48795 (Severity: MEDIUM, CVSS: 5.9)
2025-09-12 15:31:04 - VULNERABILITY: openssh-client:1 affected by CVE-2023-38408 (Severity: HIGH, CVSS: 9.8)
2025-09-12 15:31:04 - VULNERABILITY: openssh-server:1 affected by CVE-2024-6387 (Severity: HIGH, CVSS: 8.1)
2025-09-12 15:31:04 - VULNERABILITY: openssh-server:1 affected by CVE-2023-51385 (Severity: HIGH, CVSS: 8.1)
2025-09-12 15:31:04 - VULNERABILITY: openssh-server:1 affected by CVE-2023-48795 (Severity: MEDIUM, CVSS: 5.9)
2025-09-12 15:31:04 - VULNERABILITY: openssh-server:1 affected by CVE-2023-38408 (Severity: HIGH, CVSS: 9.8)
